name;country;type;date;focus;region;clients;dois
TIND;Switzerland;Vendor;27.06.16;Earth sciences;Europe;3;675
Tsinghua University Library;China;Academic Institution;05.09.16;General;Asia and Pacific;2;16
TU Delft;Netherlands;Academic Institution;01.12.09;General;Europe;27;66112
UNAVCO;United States;Research Institution;01.02.18;Earth sciences;Americas;0;0
United States Geological Survey;United States;Government Agency;21.08.16;Earth sciences;Americas;1;29
University College Dublin;Ireland;Academic Institution;26.12.17;General;Europe;1;0
University of Iowa Libraries;United States;Academic Library;29.12.17;General;Americas;0;0
University of Kentucky Libraries;United States;Academic Library;03.03.18;General;Americas;0;0
University of Massachusetts Amherst Libraries;United States;Academic Library;17.03.18;General;Americas;0;0
University of Miami Libraries;United States;Academic Library;13.03.18;General;Americas;0;0
University of Nevada Las Vegas;USA;Academic Library;06.07.17;General;Americas;0;0
University of Southern California, Information Sciences Institute;United States;Academic Institution;02.06.17;Mathematics and computer science;Americas;3;8
Virtual Library of Virginia;United States;Academic Institution;28.12.17;General;Americas;9;1
Vivli Center for Global Clinical Research Data;United States;Research Institution;23.03.18;Biomedical and health sciences;Americas;0;0
